f_0,tf_0,f_lp_0,tf_lp_0,f_1,tf_1,f_lp_1,tf_lp_1,f_2,tf_2,f_lp_2,tf_lp_2
9.409409e-02,5.327548e+01,9.409409e-02,-3.622000e+00,9.409409e-02,-3.907117e+01,9.409409e-02,-2.488116e+00,9.409409e-02,-3.679674e+01,9.409409e-02,-1.895761e+00
9.459459e-02,5.288832e+01,9.459459e-02,-4.093505e+00,9.459459e-02,-3.897354e+01,9.459459e-02,-2.713603e+00,9.459459e-02,-3.674205e+01,9.459459e-02,-1.999277e+00
9.509510e-02,5.274466e+01,9.509510e-02,-4.560936e+00,9.509510e-02,-3.887583e+01,9.509510e-02,-2.937314e+00,9.509510e-02,-3.668755e+01,9.509510e-02,-2.102113e+00
9.559560e-02,5.280129e+01,9.559560e-02,-5.024377e+00,9.559560e-02,-3.877803e+01,9.559560e-02,-3.159279e+00,9.559560e-02,-3.663325e+01,9.559560e-02,-2.204279e+00
9.609610e-02,5.303257e+01,9.609610e-02,-5.483908e+00,9.609610e-02,-3.868015e+01,9.609610e-02,-3.379531e+00,9.609610e-02,-3.657913e+01,9.609610e-02,-2.305784e+00
9.659660e-02,5.342448e+01,9.659660e-02,-5.939607e+00,9.659660e-02,-3.858217e+01,9.659660e-02,-3.598099e+00,9.659660e-02,-3.652519e+01,9.659660e-02,-2.406637e+00
9.709710e-02,5.397180e+01,9.709710e-02,-6.391551e+00,9.709710e-02,-3.848410e+01,9.709710e-02,-3.815015e+00,9.709710e-02,-3.647144e+01,9.709710e-02,-2.506848e+00
9.759760e-02,5.467712e+01,9.759760e-02,-6.839812e+00,9.759760e-02,-3.838594e+01,9.759760e-02,-4.030305e+00,9.759760e-02,-3.641787e+01,9.759760e-02,-2.606425e+00
9.809810e-02,5.555126e+01,9.809810e-02,-7.284460e+00,9.809810e-02,-3.828767e+01,9.809810e-02,-4.243998e+00,9.809810e-02,-3.636448e+01,9.809810e-02,-2.705377e+00
9.859860e-02,5.661524e+01,9.859860e-02,-7.725565e+00,9.859860e-02,-3.818929e+01,9.859860e-02,-4.456121e+00,9.859860e-02,-3.631126e+01,9.859860e-02,-2.803711e+00
9.909910e-02,5.790483e+01,9.909910e-02,-8.163193e+00,9.909910e-02,-3.809081e+01,9.909910e-02,-4.666701e+00,9.909910e-02,-3.625822e+01,9.909910e-02,-2.901437e+00
9.959960e-02,5.947967e+01,9.959960e-02,-8.597409e+00,9.959960e-02,-3.799222e+01,9.959960e-02,-4.875764e+00,9.959960e-02,-3.620534e+01,9.959960e-02,-2.998562e+00
1.001001e-01,6.144338e+01,1.001001e-01,-9.028273e+00,1.001001e-01,-3.789351e+01,1.001001e-01,-5.083333e+00,1.001001e-01,-3.615264e+01,1.001001e-01,-3.095094e+00
1.006006e-01,6.399317e+01,1.006006e-01,-9.455848e+00,1.006006e-01,-3.779468e+01,1.006006e-01,-5.289434e+00,1.006006e-01,-3.610010e+01,1.006006e-01,-3.191041e+00
1.011011e-01,6.757199e+01,1.011011e-01,-9.880192e+00,1.011011e-01,-3.769573e+01,1.011011e-01,-5.494089e+00,1.011011e-01,-3.604773e+01,1.011011e-01,-3.286411e+00
1.016016e-01,7.356973e+01,1.016016e-01,-1.030136e+01,1.016016e-01,-3.759666e+01,1.016016e-01,-5.697323e+00,1.016016e-01,-3.599551e+01,1.016016e-01,-3.381210e+00
1.021021e-01,3.000000e+02,1.021021e-01,-1.071941e+01,1.021021e-01,-3.749746e+01,1.021021e-01,-5.899158e+00,1.021021e-01,-3.594346e+01,1.021021e-01,-3.475447e+00
1.026026e-01,7.465258e+01,1.026026e-01,-1.113440e+01,1.026026e-01,-3.739813e+01,1.026026e-01,-6.099614e+00,1.026026e-01,-3.589156e+01,1.026026e-01,-3.569127e+00
1.031031e-01,6.868709e+01,1.031031e-01,-1.154637e+01,1.031031e-01,-3.729866e+01,1.031031e-01,-6.298715e+00,1.031031e-01,-3.583982e+01,1.031031e-01,-3.662259e+00
1.036036e-01,6.536877e+01,1.036036e-01,-1.195538e+01,1.036036e-01,-3.719906e+01,1.036036e-01,-6.496480e+00,1.036036e-01,-3.578824e+01,1.036036e-01,-3.754849e+00
1.041041e-01,6.313023e+01,1.041041e-01,-1.236147e+01,1.041041e-01,-3.709931e+01,1.041041e-01,-6.692930e+00,1.041041e-01,-3.573680e+01,1.041041e-01,-3.846904e+00
1.046046e-01,6.149072e+01,1.046046e-01,-1.276470e+01,1.046046e-01,-3.699943e+01,1.046046e-01,-6.888084e+00,1.046046e-01,-3.568551e+01,1.046046e-01,-3.938429e+00
1.051051e-01,6.023814e+01,1.051051e-01,-1.316512e+01,1.051051e-01,-3.689939e+01,1.051051e-01,-7.081962e+00,1.051051e-01,-3.563437e+01,1.051051e-01,-4.029433e+00
1.056056e-01,5.926008e+01,1.056056e-01,-1.356276e+01,1.056056e-01,-3.679921e+01,1.056056e-01,-7.274583e+00,1.056056e-01,-3.558338e+01,1.056056e-01,-4.119921e+00
1.061061e-01,5.848990e+01,1.061061e-01,-1.395767e+01,1.061061e-01,-3.669887e+01,1.061061e-01,-7.465964e+00,1.061061e-01,-3.553253e+01,1.061061e-01,-4.209899e+00
1.066066e-01,5.788499e+01,1.066066e-01,-1.434989e+01,1.066066e-01,-3.659837e+01,1.066066e-01,-7.656125e+00,1.066066e-01,-3.548182e+01,1.066066e-01,-4.299373e+00
1.071071e-01,5.741663e+01,1.071071e-01,-1.473948e+01,1.071071e-01,-3.649772e+01,1.071071e-01,-7.845081e+00,1.071071e-01,-3.543125e+01,1.071071e-01,-4.388350e+00
1.076076e-01,5.706476e+01,1.076076e-01,-1.512646e+01,1.076076e-01,-3.639690e+01,1.076076e-01,-8.032852e+00,1.076076e-01,-3.538082e+01,1.076076e-01,-4.476834e+00
1.081081e-01,5.681504e+01,1.081081e-01,-1.551087e+01,1.081081e-01,-3.629592e+01,1.081081e-01,-8.219452e+00,1.081081e-01,-3.533052e+01,1.081081e-01,-4.564833e+00
1.086086e-01,5.665710e+01,1.086086e-01,-1.589276e+01,1.086086e-01,-3.619477e+01,1.086086e-01,-8.404899e+00,1.086086e-01,-3.528036e+01,1.086086e-01,-4.652352e+00
1.091091e-01,5.658349e+01,1.091091e-01,-1.627217e+01,1.091091e-01,-3.609345e+01,1.091091e-01,-8.589208e+00,1.091091e-01,-3.523032e+01,1.091091e-01,-4.739395e+00
1.096096e-01,5.658898e+01,1.096096e-01,-1.664913e+01,1.096096e-01,-3.599195e+01,1.096096e-01,-8.772396e+00,1.096096e-01,-3.518042e+01,1.096096e-01,-4.825969e+00
1.101101e-01,5.667017e+01,1.101101e-01,-1.702367e+01,1.101101e-01,-3.589027e+01,1.101101e-01,-8.954476e+00,1.101101e-01,-3.513065e+01,1.101101e-01,-4.912080e+00
