f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_fp_4,fp_4,f_fp_5,fp_5,f_fp_6,fp_6,f_fp_7,fp_7,f_bb,bb
3.564453e-02,-1.951643e+02,3.564453e-02,-2.196366e+02,3.564453e-02,-2.425133e+02,3.564453e-02,-2.459888e+02,3.564453e-02,-2.503867e+02,3.564453e-02,-2.522699e+02,3.564453e-02,-2.519850e+02,3.564453e-02,-2.536214e+02,3.564453e-02,-1.855527e+02
3.613281e-02,-1.972371e+02,3.613281e-02,-2.195497e+02,3.613281e-02,-2.428806e+02,3.613281e-02,-2.451284e+02,3.613281e-02,-2.528593e+02,3.613281e-02,-2.526481e+02,3.613281e-02,-2.512203e+02,3.613281e-02,-2.541508e+02,3.613281e-02,-1.883251e+02
3.662109e-02,-1.997432e+02,3.662109e-02,-2.175533e+02,3.662109e-02,-2.410301e+02,3.662109e-02,-2.458675e+02,3.662109e-02,-2.506539e+02,3.662109e-02,-2.513220e+02,3.662109e-02,-2.519849e+02,3.662109e-02,-2.546622e+02,3.662109e-02,-1.909030e+02
3.710938e-02,-2.017343e+02,3.710938e-02,-2.162135e+02,3.710938e-02,-2.415703e+02,3.710938e-02,-2.468976e+02,3.710938e-02,-2.504516e+02,3.710938e-02,-2.514152e+02,3.710938e-02,-2.529248e+02,3.710938e-02,-2.556363e+02,3.710938e-02,-1.902628e+02
3.759766e-02,-2.049824e+02,3.759766e-02,-2.177226e+02,3.759766e-02,-2.425763e+02,3.759766e-02,-2.500079e+02,3.759766e-02,-2.501125e+02,3.759766e-02,-2.512006e+02,3.759766e-02,-2.523537e+02,3.759766e-02,-2.562625e+02,3.759766e-02,-1.894547e+02
3.808594e-02,-2.104438e+02,3.808594e-02,-2.197098e+02,3.808594e-02,-2.442255e+02,3.808594e-02,-2.488213e+02,3.808594e-02,-2.498625e+02,3.808594e-02,-2.494024e+02,3.808594e-02,-2.513251e+02,3.808594e-02,-2.553438e+02,3.808594e-02,-1.907768e+02
3.857422e-02,-2.077657e+02,3.857422e-02,-2.184111e+02,3.857422e-02,-2.457329e+02,3.857422e-02,-2.461194e+02,3.857422e-02,-2.515156e+02,3.857422e-02,-2.492432e+02,3.857422e-02,-2.526060e+02,3.857422e-02,-2.555265e+02,3.857422e-02,-1.903604e+02
3.906250e-02,-2.018997e+02,3.906250e-02,-2.166326e+02,3.906250e-02,-2.427866e+02,3.906250e-02,-2.460601e+02,3.906250e-02,-2.507303e+02,3.906250e-02,-2.485649e+02,3.906250e-02,-2.537387e+02,3.906250e-02,-2.558171e+02,3.906250e-02,-1.898385e+02
3.955078e-02,-1.984962e+02,3.955078e-02,-2.162415e+02,3.955078e-02,-2.409889e+02,3.955078e-02,-2.457176e+02,3.955078e-02,-2.490965e+02,3.955078e-02,-2.493346e+02,3.955078e-02,-2.539424e+02,3.955078e-02,-2.551282e+02,3.955078e-02,-1.930906e+02
4.003906e-02,-1.968814e+02,4.003906e-02,-2.150338e+02,4.003906e-02,-2.401436e+02,4.003906e-02,-2.466979e+02,4.003906e-02,-2.500048e+02,4.003906e-02,-2.508306e+02,4.003906e-02,-2.537694e+02,4.003906e-02,-2.545384e+02,4.003906e-02,-1.957020e+02
