f_fp_0,fp_0,f_fp_1,fp_1,f_fp_2,fp_2,f_fp_3,fp_3,f_bb,bb
6.884766e-02,-1.576843e+02,6.884766e-02,-1.728267e+02,6.884766e-02,-1.810530e+02,6.884766e-02,-1.838465e+02,6.884766e-02,-1.489322e+02
6.933594e-02,-1.580297e+02,6.933594e-02,-1.726076e+02,6.933594e-02,-1.825985e+02,6.933594e-02,-1.825522e+02,6.933594e-02,-1.498044e+02
6.982422e-02,-1.572112e+02,6.982422e-02,-1.721798e+02,6.982422e-02,-1.826983e+02,6.982422e-02,-1.842444e+02,6.982422e-02,-1.511583e+02
7.031250e-02,-1.565354e+02,7.031250e-02,-1.718785e+02,7.031250e-02,-1.818852e+02,7.031250e-02,-1.846921e+02,7.031250e-02,-1.517221e+02
7.080078e-02,-1.579848e+02,7.080078e-02,-1.711726e+02,7.080078e-02,-1.812232e+02,7.080078e-02,-1.834959e+02,7.080078e-02,-1.511848e+02
7.128906e-02,-1.601856e+02,7.128906e-02,-1.713169e+02,7.128906e-02,-1.819718e+02,7.128906e-02,-1.830345e+02,7.128906e-02,-1.495393e+02
7.177734e-02,-1.619968e+02,7.177734e-02,-1.725720e+02,7.177734e-02,-1.819065e+02,7.177734e-02,-1.827394e+02,7.177734e-02,-1.493140e+02
7.226562e-02,-1.625111e+02,7.226562e-02,-1.733771e+02,7.226562e-02,-1.805752e+02,7.226562e-02,-1.830963e+02,7.226562e-02,-1.501731e+02
7.275391e-02,-1.625929e+02,7.275391e-02,-1.731323e+02,7.275391e-02,-1.814305e+02,7.275391e-02,-1.836741e+02,7.275391e-02,-1.518821e+02
7.324219e-02,-1.638874e+02,7.324219e-02,-1.735533e+02,7.324219e-02,-1.806483e+02,7.324219e-02,-1.833375e+02,7.324219e-02,-1.527565e+02
7.373047e-02,-1.648004e+02,7.373047e-02,-1.727550e+02,7.373047e-02,-1.806077e+02,7.373047e-02,-1.845456e+02,7.373047e-02,-1.524284e+02
7.421875e-02,-1.655485e+02,7.421875e-02,-1.716324e+02,7.421875e-02,-1.817871e+02,7.421875e-02,-1.834904e+02,7.421875e-02,-1.527762e+02
7.470703e-02,-1.690043e+02,7.470703e-02,-1.728290e+02,7.470703e-02,-1.834635e+02,7.470703e-02,-1.841173e+02,7.470703e-02,-1.547941e+02
7.519531e-02,-1.738577e+02,7.519531e-02,-1.717327e+02,7.519531e-02,-1.813535e+02,7.519531e-02,-1.830077e+02,7.519531e-02,-1.548700e+02
7.568359e-02,-1.737473e+02,7.568359e-02,-1.721256e+02,7.568359e-02,-1.791391e+02,7.568359e-02,-1.821076e+02,7.568359e-02,-1.547596e+02
7.617188e-02,-1.730932e+02,7.617188e-02,-1.731652e+02,7.617188e-02,-1.801925e+02,7.617188e-02,-1.826509e+02,7.617188e-02,-1.550338e+02
7.666016e-02,-1.756704e+02,7.666016e-02,-1.706197e+02,7.666016e-02,-1.824082e+02,7.666016e-02,-1.826935e+02,7.666016e-02,-1.556153e+02
7.714844e-02,-1.728193e+02,7.714844e-02,-1.705851e+02,7.714844e-02,-1.806295e+02,7.714844e-02,-1.824183e+02,7.714844e-02,-1.563593e+02
7.763672e-02,-1.688562e+02,7.763672e-02,-1.726535e+02,7.763672e-02,-1.807414e+02,7.763672e-02,-1.825840e+02,7.763672e-02,-1.578147e+02
